dist_bin_pc,v_bin,teff_bin_k,n
70.0,12.0,4200.0,164
240.0,14.0,4600.0,449
150.0,15.25,3800.0,326
80.0,13.5,5000.0,4
20.0,12.5,3400.0,7
180.0,12.0,4600.0,33
260.0,15.5,4600.0,31
170.0,12.0,4800.0,121
190.0,15.0,3600.0,378
420.0,15.75,4600.0,246
110.0,15.75,4800.0,1
110.0,13.75,4600.0,15
180.0,15.5,3400.0,395
180.0,15.5,3200.0,2
460.0,15.0,4400.0,2322
120.0,14.0,3800.0,307
410.0,15.5,3800.0,36
220.0,14.75,4600.0,13
10.0,7.5,4600.0,3
20.0,10.75,3600.0,9
330.0,14.75,4800.0,123
380.0,13.75,4800.0,902
160.0,15.5,5000.0,6
150.0,14.75,3800.0,1043
290.0,15.5,3800.0,219
360.0,15.25,3800.0,32
230.0,12.5,4400.0,2
50.0,10.25,5000.0,2
350.0,11.25,5000.0,1
30.0,11.25,4000.0,3
70.0,13.0,3600.0,59
370.0,14.25,5000.0,660
20.0,8.75,4400.0,22
50.0,10.5,5000.0,1
480.0,14.0,4600.0,155
330.0,13.75,4400.0,114
470.0,13.25,4800.0,20
130.0,13.5,4800.0,5
350.0,15.25,3400.0,1
400.0,14.5,4400.0,522
90.0,12.75,3600.0,13
70.0,10.5,5000.0,73
120.0,14.0,4200.0,25
190.0,13.5,3800.0,2
80.0,13.0,3800.0,51
280.0,13.25,5000.0,1850
40.0,12.75,3600.0,1
160.0,14.75,4200.0,55
130.0,10.5,4800.0,3
270.0,15.0,4200.0,2395
270.0,15.5,4000.0,2182
370.0,14.5,5000.0,266
160.0,14.75,3400.0,85
270.0,15.25,3600.0,110
310.0,14.0,5000.0,273
250.0,15.0,3400.0,4
210.0,13.0,4600.0,891
350.0,14.75,4000.0,52
120.0,14.25,3200.0,2
300.0,15.25,4600.0,69
100.0,13.75,4400.0,5
60.0,10.75,4000.0,3
260.0,12.25,4800.0,40
80.0,13.0,4000.0,270
40.0,8.75,4800.0,3
280.0,15.5,5000.0,15
120.0,12.5,4200.0,25
470.0,14.75,4000.0,3
70.0,10.0,5000.0,145
90.0,14.25,4600.0,1
290.0,14.5,4000.0,34
100.0,14.25,4600.0,6
150.0,11.5,5000.0,252
110.0,14.5,3200.0,8
250.0,14.25,4600.0,232
250.0,14.25,5000.0,15
90.0,13.5,4000.0,195
180.0,14.25,5000.0,8
440.0,15.5,4200.0,1428
270.0,14.25,4800.0,87
30.0,14.25,3400.0,1
110.0,13.0,4000.0,33
60.0,12.75,4400.0,1
300.0,13.75,4000.0,1
420.0,15.0,3800.0,1
110.0,11.75,4200.0,5
200.0,15.5,4400.0,30
230.0,15.5,3600.0,594
490.0,15.5,3800.0,9
20.0,14.75,3000.0,67
50.0,15.5,2800.0,1
490.0,15.25,4000.0,48
120.0,14.75,3200.0,10
170.0,13.25,3800.0,2
460.0,15.5,3600.0,1
420.0,13.75,4200.0,1
480.0,12.25,5000.0,18
150.0,13.25,3800.0,4
130.0,15.25,5000.0,4
300.0,15.0,4400.0,2199
200.0,14.75,4000.0,1228
160.0,15.75,3200.0,44
210.0,15.75,3800.0,1209
130.0,15.5,3200.0,112
110.0,15.25,5000.0,1
0.0,7.5,3200.0,1
110.0,11.5,4400.0,8
410.0,13.5,4600.0,32
150.0,14.25,4000.0,1011
120.0,13.75,4400.0,7
460.0,15.5,5000.0,103
110.0,9.5,5000.0,1
110.0,11.25,4600.0,15
50.0,10.5,4600.0,34
420.0,14.0,4400.0,73
290.0,15.0,5000.0,10
220.0,14.75,3400.0,2
260.0,13.25,4400.0,71
260.0,15.0,4200.0,2289
330.0,12.0,4800.0,1
200.0,12.75,5000.0,546
50.0,13.0,3200.0,1
460.0,15.25,5000.0,142
320.0,14.5,4400.0,2906
280.0,15.25,4200.0,2551
250.0,14.25,4200.0,276
130.0,13.25,4200.0,580
80.0,10.25,4600.0,7
190.0,15.0,5000.0,25
20.0,8.25,4400.0,6
230.0,14.75,4400.0,242
20.0,7.75,5000.0,13
420.0,13.5,4800.0,197
0.0,5.5,5000.0,2
490.0,14.0,4800.0,364
130.0,14.75,4600.0,17
440.0,13.75,4400.0,1
20.0,9.25,4000.0,8
420.0,12.0,5000.0,6
360.0,15.0,4800.0,126
150.0,15.25,4000.0,12
140.0,14.0,4600.0,3
140.0,15.25,4400.0,2
450.0,13.25,4800.0,35
220.0,15.75,3800.0,1608
240.0,14.5,4800.0,20
0.0,9.75,3000.0,8
290.0,15.0,3600.0,35
120.0,13.25,3600.0,9
180.0,13.5,3800.0,2
120.0,11.0,5000.0,148
70.0,13.75,3200.0,8
260.0,15.0,3600.0,66
270.0,12.0,5000.0,35
470.0,15.0,4800.0,1561
480.0,13.5,5000.0,360
210.0,12.5,4400.0,12
490.0,13.75,4600.0,18
290.0,13.5,4400.0,82
250.0,13.75,5000.0,69
30.0,7.75,4800.0,1
40.0,11.75,4000.0,6
190.0,14.25,3400.0,1
360.0,14.5,4800.0,681
140.0,13.0,4800.0,11
290.0,13.0,5000.0,1364
380.0,12.0,5000.0,4
270.0,15.0,3600.0,44
30.0,11.5,3800.0,3
460.0,14.5,4000.0,1
420.0,12.25,5000.0,5
130.0,15.5,4000.0,2
210.0,15.75,3200.0,1
70.0,10.75,4200.0,3
290.0,14.0,4400.0,908
30.0,15.5,3000.0,103
30.0,11.25,3400.0,1
30.0,13.0,3200.0,32
320.0,15.25,4600.0,112
200.0,14.25,3600.0,17
50.0,14.25,3000.0,39
350.0,15.5,4400.0,1721
150.0,11.5,4800.0,24
420.0,14.75,4800.0,1364
350.0,14.75,5000.0,72
180.0,14.75,5000.0,14
230.0,14.25,4400.0,1990
10.0,8.0,4200.0,1
340.0,15.75,4600.0,60
220.0,14.5,3600.0,20
440.0,15.75,4800.0,92
90.0,11.5,4800.0,44
300.0,15.25,4400.0,893
240.0,13.25,4600.0,962
20.0,11.0,3400.0,16
120.0,12.5,4800.0,7
290.0,15.25,4400.0,545
480.0,15.5,4600.0,1827
30.0,11.0,4000.0,8
350.0,14.75,4800.0,203
320.0,14.75,4000.0,66
340.0,14.25,4400.0,727
60.0,12.25,4200.0,12
220.0,12.0,5000.0,128
480.0,15.0,4600.0,5187
170.0,14.75,4600.0,32
410.0,15.5,4400.0,5433
200.0,13.5,4600.0,548
350.0,15.75,3400.0,21
50.0,12.75,3400.0,13
360.0,15.25,4000.0,193
60.0,15.5,3600.0,1
80.0,13.5,4000.0,32
340.0,13.0,5000.0,388
440.0,15.75,3800.0,43
340.0,13.0,4600.0,13
30.0,13.25,3000.0,95
280.0,12.0,5000.0,36
240.0,15.75,3600.0,1014
110.0,14.75,5000.0,2
110.0,10.75,4600.0,6
10.0,10.25,3600.0,7
330.0,15.75,4800.0,38
150.0,15.75,4000.0,1
170.0,13.5,4800.0,8
180.0,14.5,4200.0,625
160.0,13.25,4800.0,16
420.0,14.0,5000.0,3408
110.0,14.0,4400.0,9
320.0,14.5,4600.0,1418
150.0,12.25,4400.0,27
70.0,12.0,4400.0,31
190.0,14.5,4800.0,7
210.0,15.75,5000.0,84
90.0,11.25,4200.0,2
320.0,15.5,4800.0,25
230.0,14.75,4600.0,21
170.0,15.0,3400.0,104
200.0,15.25,4400.0,46
170.0,12.0,4600.0,24
120.0,13.75,4600.0,3
0.0,13.25,2800.0,1
390.0,15.75,4000.0,582
310.0,15.5,4800.0,26
140.0,9.5,5000.0,1
190.0,12.5,4800.0,972
380.0,13.0,5000.0,195
80.0,13.75,4000.0,4
190.0,12.5,4400.0,28
220.0,13.75,4000.0,22
80.0,13.5,3800.0,376
130.0,12.25,4000.0,1
110.0,12.25,5000.0,6
280.0,14.75,4200.0,1141
330.0,15.5,4000.0,641
140.0,13.75,5000.0,7
20.0,9.25,4800.0,1
80.0,14.25,3600.0,610
140.0,11.75,4400.0,9
400.0,15.5,3600.0,30
40.0,12.5,3800.0,1
120.0,12.5,4400.0,707
420.0,15.75,4200.0,4232
480.0,15.75,4000.0,254
130.0,13.5,4200.0,720
80.0,13.0,4600.0,4
20.0,9.75,3600.0,1
90.0,13.0,4400.0,2
450.0,15.0,4200.0,260
330.0,15.75,3400.0,28
340.0,15.0,4200.0,912
90.0,14.0,4800.0,6
430.0,12.0,5000.0,10
20.0,12.75,3000.0,55
50.0,9.75,5000.0,56
400.0,14.75,5000.0,209
350.0,13.0,5000.0,276
200.0,11.5,4800.0,5
250.0,12.25,4800.0,40
230.0,15.5,3800.0,1102
490.0,14.25,4400.0,49
210.0,14.5,3400.0,1
300.0,15.25,5000.0,9
190.0,13.25,4200.0,51
30.0,10.5,3600.0,5
60.0,14.5,3600.0,3
210.0,15.75,4200.0,39
170.0,12.75,5000.0,60
470.0,14.5,4800.0,4303
440.0,14.0,4800.0,808
120.0,14.0,4000.0,450
100.0,12.5,4400.0,419
100.0,14.0,3800.0,568
390.0,13.25,4800.0,141
150.0,15.0,4800.0,31
190.0,13.75,5000.0,6
0.0,12.25,2800.0,2
240.0,15.0,3400.0,3
340.0,14.75,4400.0,3904
290.0,15.25,5000.0,15
180.0,10.25,5000.0,1
150.0,11.25,4600.0,2
230.0,15.0,5000.0,19
180.0,13.25,4200.0,51
190.0,15.75,4800.0,33
50.0,13.0,3800.0,4
70.0,12.75,5000.0,2
